클래스,파일명,예측_라벨,예측_클래스,신뢰도,정확_여부
Fruit Flies,Image_96.jpg,a photo of adult Fruit Flies,Fruit Flies,0.349609375,정확
Fruit Flies,Image_97.jpg,a photo of adult Thrips,Thrips,0.47265625,오류
Fruit Flies,Image_98.jpg,a photo of egg Fruit Flies,Fruit Flies,0.625,정확
Fruit Flies,Image_99.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.275390625,정확
Fruit Flies,Image_100.jpg,a photo of adult Fruit Flies,Fruit Flies,0.59375,정확
Fruit Flies,Image_101.JPG,a photo of adult Fruit Flies,Fruit Flies,0.2314453125,정확
Fruit Flies,Image_102.jpg,a photo of adult Fruit Flies,Fruit Flies,0.45703125,정확
Fruit Flies,Image_103.jpg,a photo of adult Fruit Flies,Fruit Flies,0.21875,정확
Fruit Flies,Image_104.jpg,a photo of adult Fruit Flies,Fruit Flies,0.54296875,정확
Fruit Flies,Image_108.jpg,a photo of adult Fruit Flies,Fruit Flies,0.2265625,정확
Fruit Flies,Image_109.png,a photo of adult Fruit Flies,Fruit Flies,0.4140625,정확
Fruit Flies,Image_111.jpg,a photo of larva Fruit Flies,Fruit Flies,0.26171875,정확
Fruit Flies,Image_112.jpg,a photo of adult Fruit Flies,Fruit Flies,0.255859375,정확
Fruit Flies,Image_113.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.279296875,정확
Fruit Flies,Image_114.jpg,a photo of adult Fruit Flies,Fruit Flies,0.71484375,정확
Fruit Flies,Image_116.gif,a photo of adult Fruit Flies,Fruit Flies,0.5703125,정확
Fruit Flies,Image_117.jpg,a photo of adult Fruit Flies,Fruit Flies,0.64453125,정확
Fruit Flies,Image_118.jpg,a photo of egg Fruit Flies,Fruit Flies,0.51953125,정확
Fruit Flies,Image_119.jpg,a photo of adult Corn Borers,Corn Borers,0.279296875,오류
Fruit Flies,Image_120.jpg,a photo of adult Fruit Flies,Fruit Flies,0.2734375,정확
Africanized Honey Bees (Killer Bees),Image_1.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.494140625,정확
Africanized Honey Bees (Killer Bees),Image_2.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.55078125,정확
Africanized Honey Bees (Killer Bees),Image_3.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.462890625,정확
Africanized Honey Bees (Killer Bees),Image_4.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.51953125,정확
Africanized Honey Bees (Killer Bees),Image_5.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.380859375,정확
Africanized Honey Bees (Killer Bees),Image_6.png,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.68359375,정확
Africanized Honey Bees (Killer Bees),Image_7.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.267578125,정확
Africanized Honey Bees (Killer Bees),Image_8.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.77734375,정확
Africanized Honey Bees (Killer Bees),Image_9.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5390625,정확
Africanized Honey Bees (Killer Bees),Image_10.jpg,a photo of adult Corn Borers,Corn Borers,0.138671875,오류
Africanized Honey Bees (Killer Bees),Image_11.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.66015625,정확
Africanized Honey Bees (Killer Bees),Image_12.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.51171875,정확
Africanized Honey Bees (Killer Bees),Image_13.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.431640625,정확
Africanized Honey Bees (Killer Bees),Image_14.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.345703125,정확
Africanized Honey Bees (Killer Bees),Image_15.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.73828125,정확
Africanized Honey Bees (Killer Bees),Image_16.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.396484375,정확
Africanized Honey Bees (Killer Bees),Image_17.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.330078125,정확
Africanized Honey Bees (Killer Bees),Image_19.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.59375,정확
Africanized Honey Bees (Killer Bees),Image_20.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.482421875,정확
Africanized Honey Bees (Killer Bees),Image_21.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.4296875,정확
Africanized Honey Bees (Killer Bees),Image_22.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.30078125,정확
Africanized Honey Bees (Killer Bees),Image_23.gif,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5234375,정확
Africanized Honey Bees (Killer Bees),Image_24.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.48046875,정확
Africanized Honey Bees (Killer Bees),Image_25.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.470703125,정확
Africanized Honey Bees (Killer Bees),Image_26.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.482421875,정확
Africanized Honey Bees (Killer Bees),Image_27.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.37109375,정확
Africanized Honey Bees (Killer Bees),Image_28.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.171875,정확
Africanized Honey Bees (Killer Bees),Image_29.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.310546875,정확
Africanized Honey Bees (Killer Bees),Image_30.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.458984375,정확
Africanized Honey Bees (Killer Bees),Image_31.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.77734375,정확
Africanized Honey Bees (Killer Bees),Image_32.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.52734375,정확
Africanized Honey Bees (Killer Bees),Image_33.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.515625,정확
Africanized Honey Bees (Killer Bees),Image_34.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.439453125,정확
Africanized Honey Bees (Killer Bees),Image_35.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.3515625,정확
Africanized Honey Bees (Killer Bees),Image_36.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.365234375,정확
Africanized Honey Bees (Killer Bees),Image_37.png,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.439453125,정확
Africanized Honey Bees (Killer Bees),Image_38.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.404296875,정확
Africanized Honey Bees (Killer Bees),Image_39.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5234375,정확
Africanized Honey Bees (Killer Bees),Image_40.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.58203125,정확
Africanized Honey Bees (Killer Bees),Image_41.jpg,a photo of pupa Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.421875,정확
Africanized Honey Bees (Killer Bees),Image_42.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.53125,정확
Africanized Honey Bees (Killer Bees),Image_43.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.55859375,정확
Africanized Honey Bees (Killer Bees),Image_44.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.455078125,정확
Africanized Honey Bees (Killer Bees),Image_45.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.490234375,정확
Africanized Honey Bees (Killer Bees),Image_46.png,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.75,정확
Africanized Honey Bees (Killer Bees),Image_47.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.45703125,정확
Africanized Honey Bees (Killer Bees),Image_48.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.373046875,정확
Africanized Honey Bees (Killer Bees),Image_49.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.494140625,정확
Africanized Honey Bees (Killer Bees),Image_50.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.34765625,정확
Africanized Honey Bees (Killer Bees),Image_51.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.490234375,정확
Africanized Honey Bees (Killer Bees),Image_52.png,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.23046875,정확
Africanized Honey Bees (Killer Bees),Image_54.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.48046875,정확
Africanized Honey Bees (Killer Bees),Image_55.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.49609375,정확
Africanized Honey Bees (Killer Bees),Image_56.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.474609375,정확
Africanized Honey Bees (Killer Bees),Image_57.jpg,a photo of adult Corn Earworms,Corn Earworms,0.208984375,오류
Africanized Honey Bees (Killer Bees),Image_59.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.63671875,정확
Africanized Honey Bees (Killer Bees),Image_60.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5234375,정확
Africanized Honey Bees (Killer Bees),Image_61.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.390625,정확
Africanized Honey Bees (Killer Bees),Image_62.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.59375,정확
Africanized Honey Bees (Killer Bees),Image_63.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.55859375,정확
Africanized Honey Bees (Killer Bees),Image_64.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.34375,정확
Africanized Honey Bees (Killer Bees),Image_65.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.53125,정확
Africanized Honey Bees (Killer Bees),Image_67.jpg,a photo of adult Corn Borers,Corn Borers,0.130859375,오류
Africanized Honey Bees (Killer Bees),Image_68.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.439453125,정확
Africanized Honey Bees (Killer Bees),Image_69.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5234375,정확
Africanized Honey Bees (Killer Bees),Image_70.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.70703125,정확
Africanized Honey Bees (Killer Bees),Image_71.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.279296875,정확
Africanized Honey Bees (Killer Bees),Image_72.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.6796875,정확
Africanized Honey Bees (Killer Bees),Image_74.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.494140625,정확
Africanized Honey Bees (Killer Bees),Image_75.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.54296875,정확
Africanized Honey Bees (Killer Bees),Image_78.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.43359375,정확
Africanized Honey Bees (Killer Bees),Image_79.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.388671875,정확
Africanized Honey Bees (Killer Bees),Image_80.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.515625,정확
Africanized Honey Bees (Killer Bees),Image_81.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.41015625,정확
Africanized Honey Bees (Killer Bees),Image_82.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.341796875,정확
Africanized Honey Bees (Killer Bees),Image_83.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.484375,정확
Africanized Honey Bees (Killer Bees),Image_84.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.490234375,정확
Africanized Honey Bees (Killer Bees),Image_85.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.35546875,정확
Africanized Honey Bees (Killer Bees),Image_86.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.41796875,정확
Africanized Honey Bees (Killer Bees),Image_87.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.44921875,정확
Africanized Honey Bees (Killer Bees),Image_90.jpg,a photo of pupa Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.41796875,정확
Africanized Honey Bees (Killer Bees),Image_91.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.318359375,정확
Africanized Honey Bees (Killer Bees),Image_92.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.31640625,정확
Africanized Honey Bees (Killer Bees),Image_94.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.458984375,정확
Africanized Honey Bees (Killer Bees),Image_95.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.53125,정확
Africanized Honey Bees (Killer Bees),Image_96.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.71484375,정확
Africanized Honey Bees (Killer Bees),Image_100.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.57421875,정확
Africanized Honey Bees (Killer Bees),Image_102.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.494140625,정확
Africanized Honey Bees (Killer Bees),Image_104.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.51171875,정확
Africanized Honey Bees (Killer Bees),Image_105.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.51953125,정확
Africanized Honey Bees (Killer Bees),Image_106.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.37890625,정확
Africanized Honey Bees (Killer Bees),Image_107.png,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.482421875,정확
Africanized Honey Bees (Killer Bees),Image_108.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.33203125,정확
Africanized Honey Bees (Killer Bees),Image_110.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.453125,정확
Africanized Honey Bees (Killer Bees),Image_116.jpg,a photo of adult Corn Borers,Corn Borers,0.2314453125,오류
Africanized Honey Bees (Killer Bees),Image_117.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.46875,정확
Africanized Honey Bees (Killer Bees),Image_120.jpg,a photo of adult Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.5234375,정확
Aphids,Image_1.jpeg,a photo of adult Aphids,Aphids,0.40234375,정확
Aphids,Image_2.JPG,a photo of adult Aphids,Aphids,0.5703125,정확
Aphids,Image_4.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.15625,오류
Aphids,Image_5.jpg,a photo of adult Aphids,Aphids,0.43359375,정확
Aphids,Image_6.jpg,a photo of egg Aphids,Aphids,0.2021484375,정확
Aphids,Image_7.jpg,a photo of egg Spider Mites,Spider Mites,0.171875,오류
Aphids,Image_8.jpg,a photo of larva Corn Earworms,Corn Earworms,0.1572265625,오류
Aphids,Image_9.jpg,a photo of adult Aphids,Aphids,0.322265625,정확
Aphids,Image_10.jpg,a photo of adult Aphids,Aphids,0.283203125,정확
Aphids,Image_11.jpg,a photo of egg Spider Mites,Spider Mites,0.234375,오류
Aphids,Image_13.jpg,a photo of adult Spider Mites,Spider Mites,0.384765625,오류
Aphids,Image_14.jpg,a photo of adult Aphids,Aphids,0.302734375,정확
Aphids,Image_15.jpg,a photo of egg Aphids,Aphids,0.375,정확
Aphids,Image_16.jpg,a photo of egg Aphids,Aphids,0.228515625,정확
Aphids,Image_17.jpg,a photo of adult Aphids,Aphids,0.3359375,정확
Aphids,Image_19.jpg,a photo of adult Aphids,Aphids,0.232421875,정확
Aphids,Image_20.jpg,a photo of adult Aphids,Aphids,0.361328125,정확
Aphids,Image_21.jpg,a photo of adult Aphids,Aphids,0.3359375,정확
Aphids,Image_22.jpg,a photo of pupa Spider Mites,Spider Mites,0.1904296875,오류
Aphids,Image_23.jpg,a photo of egg Corn Borers,Corn Borers,0.240234375,오류
Aphids,Image_24.jpg,a photo of pupa Aphids,Aphids,0.24609375,정확
Aphids,Image_25.jpg,a photo of adult Aphids,Aphids,0.314453125,정확
Aphids,Image_26.jpg,a photo of egg Spider Mites,Spider Mites,0.15234375,오류
Aphids,Image_27.jpg,a photo of adult Corn Earworms,Corn Earworms,0.298828125,오류
Aphids,Image_28.JPG,a photo of Citrus Canker,Citrus Canker,0.376953125,오류
Aphids,Image_29.JPG,a photo of Citrus Canker,Citrus Canker,0.53125,오류
Aphids,Image_31.jpg,a photo of adult Aphids,Aphids,0.443359375,정확
Aphids,Image_32.jpg,a photo of adult Aphids,Aphids,0.1875,정확
Aphids,Image_33.jpg,a photo of egg Aphids,Aphids,0.33203125,정확
Aphids,Image_34.jpg,a photo of adult Aphids,Aphids,0.58984375,정확
Aphids,Image_35.jpg,a photo of adult Aphids,Aphids,0.5703125,정확
Aphids,Image_36.jpg,a photo of adult Aphids,Aphids,0.453125,정확
Aphids,Image_38.jpg,a photo of adult Aphids,Aphids,0.203125,정확
Aphids,Image_39.jpg,a photo of adult Aphids,Aphids,0.306640625,정확
Aphids,Image_40.jpg,a photo of egg Aphids,Aphids,0.1826171875,정확
Aphids,Image_41.jpg,a photo of adult Aphids,Aphids,0.33984375,정확
Aphids,Image_42.JPG,a photo of larva Spider Mites,Spider Mites,0.296875,오류
Aphids,Image_43.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.39453125,오류
Aphids,Image_44.jpg,a photo of egg Aphids,Aphids,0.15234375,정확
Aphids,Image_46.jpg,a photo of egg Aphids,Aphids,0.375,정확
Aphids,Image_50.jpg,a photo of adult Aphids,Aphids,0.1611328125,정확
Aphids,Image_51.jpg,a photo of larva Corn Earworms,Corn Earworms,0.1435546875,오류
Aphids,Image_52.jpg,a photo of egg Aphids,Aphids,0.3671875,정확
Aphids,Image_53.jpg,a photo of pupa Aphids,Aphids,0.1591796875,정확
Aphids,Image_54.jpg,a photo of egg Aphids,Aphids,0.208984375,정확
Aphids,Image_55.jpg,a photo of egg Aphids,Aphids,0.375,정확
Aphids,Image_56.jpg,a photo of adult Aphids,Aphids,0.26953125,정확
Aphids,Image_57.jpeg,a photo of adult Spider Mites,Spider Mites,0.1611328125,오류
Aphids,Image_58.jpg,a photo of adult Aphids,Aphids,0.416015625,정확
Aphids,Image_61.jpg,a photo of egg Aphids,Aphids,0.1982421875,정확
Aphids,Image_64.jpg,a photo of egg Aphids,Aphids,0.21875,정확
Aphids,Image_65.jpg,a photo of egg Aphids,Aphids,0.275390625,정확
Aphids,Image_68.jpg,a photo of egg Spider Mites,Spider Mites,0.15234375,오류
Aphids,Image_69.jpg,a photo of egg Spider Mites,Spider Mites,0.10498046875,오류
Aphids,Image_70.jpeg,a photo of pupa Spider Mites,Spider Mites,0.23828125,오류
Aphids,Image_71.jpg,a photo of pupa Aphids,Aphids,0.28515625,정확
Aphids,Image_75.jpg,a photo of adult Aphids,Aphids,0.357421875,정확
Aphids,Image_76.jpg,a photo of adult Aphids,Aphids,0.19140625,정확
Aphids,Image_77.jpg,a photo of adult Aphids,Aphids,0.267578125,정확
Aphids,Image_78.jpg,a photo of adult Aphids,Aphids,0.1953125,정확
Aphids,Image_79.jpg,a photo of pupa Spider Mites,Spider Mites,0.259765625,오류
Aphids,Image_80.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.1962890625,오류
Aphids,Image_81.jpg,a photo of adult Corn Earworms,Corn Earworms,0.1552734375,오류
Aphids,Image_82.jpg,a photo of adult Aphids,Aphids,0.2421875,정확
Aphids,Image_83.jpg,a photo of egg Aphids,Aphids,0.2265625,정확
Aphids,Image_84.jpg,a photo of larva Aphids,Aphids,0.2470703125,정확
Aphids,Image_85.jpg,a photo of larva Corn Borers,Corn Borers,0.1640625,오류
Aphids,Image_86.jpg,a photo of larva Aphids,Aphids,0.2470703125,정확
Aphids,Image_87.jpg,a photo of adult Aphids,Aphids,0.31640625,정확
Aphids,Image_88.jpg,a photo of egg Thrips,Thrips,0.240234375,오류
Aphids,Image_89.jpg,a photo of adult Aphids,Aphids,0.337890625,정확
Aphids,Image_90.jpg,a photo of egg Aphids,Aphids,0.32421875,정확
Aphids,Image_91.jpg,a photo of egg Thrips,Thrips,0.1826171875,오류
Aphids,Image_92.JPG,a photo of egg Tomato Hornworms,Tomato Hornworms,0.291015625,오류
Aphids,Image_93.jpg,a photo of pupa Tomato Hornworms,Tomato Hornworms,0.0732421875,오류
Aphids,Image_95.jpg,a photo of adult Corn Earworms,Corn Earworms,0.20703125,오류
Aphids,Image_97.jpeg,a photo of adult Aphids,Aphids,0.1806640625,정확
Aphids,Image_99.jpg,a photo of larva Spider Mites,Spider Mites,0.1298828125,오류
Aphids,Image_100.jpg,a photo of adult Aphids,Aphids,0.283203125,정확
Aphids,Image_101.jpg,a photo of adult Aphids,Aphids,0.12158203125,정확
Aphids,Image_102.jpg,a photo of larva Corn Earworms,Corn Earworms,0.146484375,오류
Aphids,Image_103.jpg,a photo of adult Aphids,Aphids,0.3125,정확
Aphids,Image_108.png,a photo of adult Aphids,Aphids,0.12451171875,정확
Aphids,Image_110.png,a photo of adult Aphids,Aphids,0.2412109375,정확
Aphids,Image_112.jpg,a photo of adult Aphids,Aphids,0.28125,정확
Aphids,Image_114.jpg,a photo of adult Aphids,Aphids,0.361328125,정확
Aphids,Image_115.gif,a photo of adult Aphids,Aphids,0.1875,정확
Aphids,Image_120.jpg,a photo of adult Aphids,Aphids,0.1748046875,정확
Colorado Potato Beetles,Image_1.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.73828125,정확
Colorado Potato Beetles,Image_2.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.70703125,정확
Colorado Potato Beetles,Image_3.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.62890625,정확
Colorado Potato Beetles,Image_4.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.5546875,정확
Colorado Potato Beetles,Image_5.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.72265625,정확
Colorado Potato Beetles,Image_6.jpeg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.494140625,정확
Colorado Potato Beetles,Image_7.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.6875,정확
Colorado Potato Beetles,Image_8.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.5703125,정확
Colorado Potato Beetles,Image_9.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.31640625,정확
Colorado Potato Beetles,Image_10.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.6953125,정확
Colorado Potato Beetles,Image_11.jpg,a photo of pupa Colorado Potato Beetles,Colorado Potato Beetles,0.453125,정확
Colorado Potato Beetles,Image_12.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.72265625,정확
Colorado Potato Beetles,Image_13.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.330078125,정확
Colorado Potato Beetles,Image_14.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.482421875,정확
Colorado Potato Beetles,Image_15.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.66796875,정확
Colorado Potato Beetles,Image_16.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.47265625,정확
Colorado Potato Beetles,Image_17.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.55859375,정확
Colorado Potato Beetles,Image_18.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.56640625,정확
Colorado Potato Beetles,Image_19.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.75,정확
Colorado Potato Beetles,Image_20.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.55078125,정확
Colorado Potato Beetles,Image_21.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.53515625,정확
Colorado Potato Beetles,Image_22.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.298828125,정확
Colorado Potato Beetles,Image_24.jpg,a photo of larva Colorado Potato Beetles,Colorado Potato Beetles,0.43359375,정확
Colorado Potato Beetles,Image_25.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.359375,정확
Colorado Potato Beetles,Image_26.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.298828125,정확
Colorado Potato Beetles,Image_27.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.515625,정확
Colorado Potato Beetles,Image_28.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.5859375,정확
Colorado Potato Beetles,Image_29.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.7421875,정확
Colorado Potato Beetles,Image_30.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.5703125,정확
Colorado Potato Beetles,Image_31.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.546875,정확
Colorado Potato Beetles,Image_32.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.7421875,정확
Colorado Potato Beetles,Image_33.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.55859375,정확
